C2	-0.25	8.76	270.00	0.1uF	0603
C3	4.06	7.11	180.00	10uF/25V	_0805MP
C4	4.19	5.46	180.00	0.1uF/50V	0603
C5	3.18	15.24	0.00	47pF	0603
C6	-2.92	3.94	0.00	10uF/50V	1206
C8	-1.91	6.10	0.00	0.1uF/50V	0603
D1	1.40	5.59	270.00	DSK16 60V/1A	SOD123
D2	3.18	13.72	0.00	1N4148	SOD123
J1	0.00	1.40	180.00	CONN_1X4_SIMGLE	CONN_1X04_SINGLE
L1	3.18	10.54	0.00	10uH	4020TYPE
R1	-4.83	6.99	270.00	500k	0603
R2	-4.83	10.16	270.00	NS	0603
R3	-0.25	11.94	90.00	0R	0603
R5	-3.05	13.84	180.00	124k	0603
R6	-3.05	12.45	180.00	23.7k	0603
R9	-3.05	15.24	180.00	0R	0603
U1	-2.54	9.14	0.00	MP2456	SOT23-6
